CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
475;472;01.466.535/0001-15;SALVADOR & BOTELHO SUPERMERCADOS LTDA.;SP;23.269.441;1;10;900;56;2.326.944;25.855;415.526;6;6;10;90;900;23.269.441;
476;480;62.568.589/0001-86;SUPERMERCADO RECANTO DA ECONOMIA LTDA.;SP;23.092.752;1;7;750;68;3.298.965;30.790;339.599;10;9;7;107;750;23.092.752;
477;498;12.607.971/0001-83;SUPERMERCADO DAKI LTDA.;RS;23.084.835;1;9;600;58;2.564.982;38.475;398.014;6;10;9;67;600;23.084.835;
478;465;87.214.870/0002-22;FRIGORÍFICO E SUPERMERCADO LTDA.;RS;23.000.000;1;8;970;65;2.875.000;23.711;353.846;8;7;8;121;970;23.000.000;
479;473;10.989.593/0001-14;VAVO COMÉRCIO DE ALIMENTOS LTDA.;RS;23.000.000;2;14;1.100;53;1.642.857;20.909;433.962;4;5;7;79;550;11.500.000;
480;467;04.067.514/0001-15;COMÉRCIO DE ALIMENTOS PREDILETO LTDA.;RS;22.876.724;1;8;740;82;2.859.591;30.914;278.984;10;11;8;93;740;22.876.724;
481;478;01.413.010/0001-11;SUPERMERCADO NANDAS LTDA. - REDE ECONÔMICA.;MS;22.511.780;1;10;900;55;2.251.178;25.013;409.305;6;6;10;90;900;22.511.780;
482;490;64.255.557/0001-56;COMERCIAL SABOR DE PÃO LTDA.;MG;22.468.640;2;14;1.300;115;1.604.903;17.284;195.379;8;9;7;93;650;11.234.320;
483;526;24.863.289/0003-00;VAREJISTA SUL MINEIRA LTDA.;MG;22.457.000;3;16;1.800;100;1.403.563;12.476;224.570;6;6;5;113;600;7.485.667;
484;496;00.480.963/0001-30;VICENTE STANGHERLIN & CIA. LTDA.;RS;21.916.945;1;3;500;20;7.305.648;43.834;1.095.847;7;4;3;167;500;21.916.945;
485;460;71.688.006/0001-41;BALAN SUPERMERCADO - EIRELI.;SP;21.667.668;1;8;400;90;2.708.459;54.169;240.752;11;23;8;50;400;21.667.668;
486;502;06.878.294/0001-35;FREITAS DE FRAGA MINIMERCADO LTDA.;RS;21.549.502;1;8;650;51;2.693.688;33.153;422.539;6;8;8;81;650;21.549.502;
487;509;01.618.895/0001-95;COOPERATIVA DE PORTO XAVIER LTDA.;RS;21.500.000;2;7;1.050;44;3.071.429;20.476;488.636;6;4;4;150;525;10.750.000;
488;492;90.154.329/0001-08;KARPINSKI & CIA. LTDA.;RS;21.465.241;2;11;2.370;61;1.951.386;9.057;351.889;6;3;6;215;1.185;10.732.621;
489;539;07.140.724/0001-80;GAEDICKE E CIA LTDA.;MS;21.157.406;2;13;1.450;75;1.627.493;14.591;282.099;6;5;7;112;725;10.578.703;
490;494;01.631.637/0001-49;COMERCIAL MAR TREE DE ALIMENTOS LTDA. - ME.;CE;21.000.000;3;15;900;70;1.400.000;23.333;300.000;5;8;5;60;300;7.000.000;
491;504;08.818.356/0001-49;MERCADO OLIVEIRA & SANTANA LTDA.;SP;20.594.783;1;5;600;31;4.118.957;34.325;664.348;6;5;5;120;600;20.594.783;
492;497;89.963.102/0001-16;SUPERMERCADO VERMELHÃO LTDA.;RS;20.539.409;1;7;800;49;2.934.201;25.674;419.172;7;6;7;114;800;20.539.409;
493;384;00.135.277/0001-21;SUPERMERCADO DO COUTO LTDA.;GO;20.478.548;1;10;1.000;62;2.047.855;20.479;330.299;6;6;10;100;1.000;20.478.548;
494;536;41.128.661/0001-84;JOSÉ WILLAME DE ARAÚJO SUPERMERCADO - EIRELI.;PB;20.413.542;2;11;1.200;53;1.855.777;17.011;385.161;5;4;6;109;600;10.206.771;
495;558;25.779.489/0001-72;CLEBER SOUZA TIAGO.;MG;20.212.758;2;10;1.000;69;2.021.276;20.213;292.939;7;7;5;100;500;10.106.379;
496;512;13.754.248/0001-90;SUPERMERCADOS E.J.C. LTDA.;PB;20.205.550;1;7;700;42;2.886.507;28.865;481.085;6;6;7;100;700;20.205.550;
497;novo;12.920.071/0001-91;NOVO SUPERMERCADO - EIRELI.;SC;20.204.421;2;10;1.000;45;2.020.442;20.204;448.987;5;5;5;100;500;10.102.211;
498;528;05.432.882/0001-88;SUPERMERCADO CARON LTDA.;ES;20.094.748;1;10;900;44;2.009.475;22.327;456.699;4;5;10;90;900;20.094.748;
499;483;00.087.031/0001-21;SUPERMERCADO BOM VIZINHO DE ITUMBIARA LTDA.;GO;20.000.000;1;8;730;38;2.500.000;27.397;526.316;5;5;8;91;730;20.000.000;
500;novo;81.173.445/0001-75;A DELAPRIA & CIA. LTDA.;PR;20.000.000;3;15;2.000;35;1.333.333;10.000;571.429;2;2;5;133;667;6.666.667;
Total  500 Maiores;;;;;359.470.714.788;7.998;60.242;11.676.622;743.448;5.967.111;30.786;483.518;12;6;8;194;1.460;44.945.076;
501;749;26.009.105/0001-03;NATHAN CARDIM BASTOS - ME.;BA;20.000.000;4;14;1.400;53;1.428.571;14.286;377.358;4;4;4;100;350;5.000.000;
502;517;05.896.735/0001-69;JD. MALLIA COMERCIAL LTDA. - EPP.;SP;20.000.000;4;18;1.800;110;1.111.111;11.111;181.818;6;6;5;100;450;5.000.000;
503;495;31.466.253/0001-89;AUTO SERVICOS IDEAL LTDA.;ES;19.964.697;1;8;780;63;2.495.587;25.596;316.900;8;8;8;98;780;19.964.697;
504;522;49.629.587/0001-91;SUPERMERCADO L.S.B. LTDA.;SP;19.737.305;1;10;1.000;50;1.973.731;19.737;394.746;5;5;10;100;1.000;19.737.305;
505;870;06.262.185/0001-99;SUPERMERCADO FERREIRA FROTA LTDA.;MG;19.531.532;2;13;1.400;70;1.502.426;13.951;279.022;5;5;7;108;700;9.765.766;
506;501;05.698.669/0001-12;GERALDO & GERALDO SUPERMERCADO LTDA.;SP;19.500.000;1;5;1.080;45;3.900.000;18.056;433.333;9;4;5;216;1.080;19.500.000;
507;novo;76.867.340/0001-86;MERCADO LUCAS LTDA.;SC;19.480.441;2;9;1.060;56;2.164.493;18.378;347.865;6;5;5;118;530;9.740.221;
508;534;02.339.292/0001-17;DISTRIBUIDORA DE ALIMENTOS SONORA LTDA.;MS;19.309.194;1;9;1.200;55;2.145.466;16.091;351.076;6;5;9;133;1.200;19.309.194;
509;511;81.023.988/0001-06;SUPERMERCADO VALDIR - EIRELI.;SC;19.000.000;1;10;1.200;55;1.900.000;15.833;345.455;6;5;10;120;1.200;19.000.000;
510;499;06.351.594/0001-61;MILANO COMÉRCIO DE GÊNEROS ALIMENTÍCIOS - EIRELI - ME.;PR;19.000.000;1;11;1.300;50;1.727.273;14.615;380.000;5;4;11;118;1.300;19.000.000;
511;538;07.009.892/0001-30;SUPERMERCADO SHOW DE COMPRAS LTDA.;ES;18.868.170;1;5;500;45;3.773.634;37.736;419.293;9;9;5;100;500;18.868.170;
512;664;11.011.182/0001-12;N. ARAÚJO MERCADO LTDA.;SP;18.776.862;2;10;2.600;22;1.877.686;7.222;853.494;2;1;5;260;1.300;9.388.431;
513;523;64.421.159/0001-62;SUPERMERCADO VENCEDORA LTDA. - EPP.;MG;18.631.813;1;5;600;42;3.726.363;31.053;443.615;8;7;5;120;600;18.631.813;
514;novo;06.928.223/0001-08;COMERCIAL FRONZA LTDA.;SC;18.503.893;1;8;800;70;2.312.987;23.130;264.341;9;9;8;100;800;18.503.893;
515;547;82.846.932/0001-14;MERCADO CAMPOS SALLES LTDA.;SC;18.320.692;1;4;580;40;4.580.173;31.587;458.017;10;7;4;145;580;18.320.692;
516;novo;18.476.271/0001-83;J.V SUPERMERCADOS - EIRELI - EPP.;RS;18.284.889;1;5;500;27;3.656.978;36.570;677.218;5;5;5;100;500;18.284.889;
517;521;41.221.979/0001-05;A.A.G. COMÉRCIO VAREJISTA DE ALIMENTOS LTDA.;PB;18.183.045;1;6;500;51;3.030.508;36.366;356.530;9;10;6;83;500;18.183.045;
518;506;09.336.614/0001-13;SUPERMERCADO J.P.L. LTDA.;SP;18.140.085;1;5;600;32;3.628.017;30.233;566.878;6;5;5;120;600;18.140.085;
519;601;18.025.168/0001-17;MINIMERCADO GRANDO LTDA. - ME.;RS;18.000.000;1;6;520;32;3.000.000;34.615;562.500;5;6;6;87;520;18.000.000;
520;508;02.198.905/0001-43;COMERCIAL MUNIZ CENTER LTDA.;ES;17.650.351;1;7;600;58;2.521.479;29.417;304.316;8;10;7;86;600;17.650.351;
521;544;04.453.838/0001-91;UNIÃO COMÉRCIO DE ALIMENTOS - EIRELI.;PB;17.580.771;1;6;700;40;2.930.129;25.115;439.519;7;6;6;117;700;17.580.771;
522;541;06.119.510/0001-69;SUPERMERCADO BOM JESUS - EIRELI.;RN;17.530.000;1;7;710;46;2.504.286;24.690;381.087;7;6;7;101;710;17.530.000;
523;556;02.908.721/0001-20;ARMANDO ANTÔNIO MARTINS - EIRELI.;GO;17.495.399;1;5;1.050;52;3.499.080;16.662;336.450;10;5;5;210;1.050;17.495.399;
524;890;00.395.042/0001-79;JACTO COMÉRCIO DE ALIMENTOS LTDA.;PB;17.126.452;1;7;700;45;2.446.636;24.466;380.588;6;6;7;100;700;17.126.452;
525;519;09.252.683/0001-49;H. E. DIST. DE ALIM. LTDA. - ME.;RS;17.117.780;2;9;1.100;52;1.901.976;15.562;329.188;6;5;5;122;550;8.558.890;
526;533;02.811.759/0001-80;COMERCIAL DE ALIMENTOS ROMAN LTDA.;PR;17.082.511;1;8;1.100;44;2.135.314;15.530;388.239;6;4;8;138;1.100;17.082.511;
527;695;31.432.054/0001-50;L.W.A. COMERCIAL LTDA.;SE;17.000.000;2;14;1.200;80;1.214.286;14.167;212.500;6;7;7;86;600;8.500.000;
528;543;05.279.067/0001-20;SUPERMERCADO SANTA IZABEL LTDA.;MG;16.800.000;1;7;440;57;2.400.000;38.182;294.737;8;13;7;63;440;16.800.000;
529;514;04.839.410/0001-81;SUPERMERCADO BROMBATTI LTDA.;RS;16.800.000;1;5;800;35;3.360.000;21.000;480.000;7;4;5;160;800;16.800.000;
530;537;01.196.411/0001-67;FILEZÃO SÃO CRISTÓVÃO LTDA.;PB;16.800.000;1;6;1.000;55;2.800.000;16.800;305.455;9;6;6;167;1.000;16.800.000;
531;524;10.414.765/0001-21;SUPERMERCADO TANABI LTDA.;SP;16.667.000;1;6;600;36;2.777.833;27.778;462.972;6;6;6;100;600;16.667.000;
532;542;04.558.939/0001-27;SUPERMERCADO D & D LTDA.;CE;16.600.000;1;6;635;70;2.766.667;26.142;237.143;12;11;6;106;635;16.600.000;
533;525;80.142.920/0001-83;MERCADO BARCAROLO LTDA.;SC;16.539.593;1;8;1.200;28;2.067.449;13.783;590.700;4;2;8;150;1.200;16.539.593;
534;569;82.407.842/0001-27;PAULO SLONIK.;PR;16.405.083;1;10;1.200;50;1.640.508;13.671;328.102;5;4;10;120;1.200;16.405.083;
535;546;10.343.506/0001-57;MERCEARIA DIMAS LTDA. -ME.;ES;16.276.639;1;6;490;38;2.712.773;33.218;428.333;6;8;6;82;490;16.276.639;
536;530;15.942.444/0001-13;LUIZARI & LUIZARI LTDA.;MS;16.263.933;1;5;850;36;3.252.787;19.134;451.776;7;4;5;170;850;16.263.933;
537;573;95.421.038/0001-44;SUPERMERCADO GOLFETO LTDA.;PR;16.200.000;2;8;1.030;47;2.025.000;15.728;344.681;6;5;4;129;515;8.100.000;
538;520;97.345.342/0001-85;ARMANDO DELLAZERI & CIA. LTDA.;RS;16.162.801;1;13;1.000;70;1.243.292;16.163;230.897;5;7;13;77;1.000;16.162.801;
539;novo;95.358.388/0001-03;MEDIANEIRA COMÉRCIO DE ALIMENTOS LTDA.;PR;16.122.270;1;14;1.300;56;1.151.591;12.402;287.898;4;4;14;93;1.300;16.122.270;
540;625;19.174.204/0001-77;MINIMERCADO L.D. MICHELS LTDA. - EPP.;SC;16.115.763;2;5;580;26;3.223.153;27.786;619.837;5;4;3;116;290;8.057.882;
541;529;91.288.399/0004-56;COOPERATIVA DOS AGRICULTORES DE CHAPADA LTDA.;RS;16.054.772;1;6;700;42;2.675.795;22.935;382.256;7;6;6;117;700;16.054.772;
542;novo;24.931.730/0001-74;M&N SUPERMERCADO LTDA.;RS;16.000.000;1;7;500;24;2.285.714;32.000;666.667;3;5;7;71;500;16.000.000;
543;885;06.250.330/0001-11;FERNANDES & PALOMO LTDA EPP;SP;16.000.000;1;8;1.700;50;2.000.000;9.412;320.000;6;3;8;213;1.700;16.000.000;
544;551;39.325.709/0001-00;SUPERMERCADO MICHEL LTDA.;ES;15.985.456;1;7;600;50;2.283.637;26.642;319.709;7;8;7;86;600;15.985.456;
545;518;01.146.784/0001-23;SUPERMERCADO GENIAL' S LTDA.;RS;15.880.607;1;6;450;44;2.646.768;35.290;360.923;7;10;6;75;450;15.880.607;
546;576;07.365.942/0001-12;MERCADINHO CANTINHO DAS FRUTAS LTDA. - ME.;CE;15.830.000;1;6;655;48;2.638.333;24.168;329.792;8;7;6;109;655;15.830.000;
547;557;90.993.783/0003-06;COOPERATIVA AGRÁRIA SÃO JOSÉ LTDA.;RS;15.732.213;1;5;800;32;3.146.443;19.665;491.632;6;4;5;160;800;15.732.213;
548;550;03.466.568/0001-90;SUPERMERCADO BAIXADA LTDA.;SC;15.706.365;2;8;1.000;25;1.963.296;15.706;628.255;3;3;4;125;500;7.853.183;
549;566;10.515.406/0001-60;SUPERMERCADO SÃO SEBASTIÃO LTDA.;PB;15.650.534;1;6;360;36;2.608.422;43.474;434.737;6;10;6;60;360;15.650.534;
550;577;09.326.928/0001-35;GONÇALVES & GONÇALVES SUPERMERCADO LTDA.;MS;15.643.000;1;5;500;45;3.128.600;31.286;347.622;9;9;5;100;500;15.643.000;
551;560;44.517.894/0001-67;VILA NOVA MAX SUPERMERCADOS LTDA.;SP;15.500.000;1;6;360;50;2.583.333;43.056;310.000;8;14;6;60;360;15.500.000;
552;562;10.413.328/0001-93;COMERCIAL DE ALIMENTOS S.R. LTDA.;SP;15.348.946;1;5;400;32;3.069.789;38.372;479.655;6;8;5;80;400;15.348.946;
553;535;21.966.239/0001-90;SUPERMERCADO CARACOL LTDA.;MG;15.338.372;1;7;500;49;2.191.196;30.677;313.028;7;10;7;71;500;15.338.372;
554;554;90.008.160/0001-70;COMERCIAL DE ALIMENTOS RICCI LTDA.;RS;15.253.683;1;8;750;31;1.906.710;20.338;492.054;4;4;8;94;750;15.253.683;
555;607;09.334.717/0001-44;T.C. RODRIGUES MINIMERCADO LTDA.;RS;15.243.171;1;5;600;34;3.048.634;25.405;448.329;7;6;5;120;600;15.243.171;
556;532;91.362.590/0001-58;SOLAR COMÉRCIO E AGROINDÚSTRIA LTDA.;RS;15.234.621;2;12;1.400;54;1.269.552;10.882;282.123;5;4;6;117;700;7.617.311;
557;570;01.921.260/0001-62;EMPÓRIO JOAB LTDA.;MG;15.139.000;1;6;600;54;2.523.167;25.232;280.352;9;9;6;100;600;15.139.000;
558;553;00.155.933/0001-58;MARTOVICZ FAVERO & CIA. LTDA.;RS;15.056.575;3;11;1.240;51;1.368.780;12.142;295.227;5;4;4;113;413;5.018.858;
559;527;04.271.732/0001-77;MARIA ELIENE DE SOUZA E SILVA.;CE;15.000.000;1;7;460;41;2.142.857;32.609;365.854;6;9;7;66;460;15.000.000;
560;698;00.672.600/0001-04;MERCADINHO LA PALMA LTDA.;DF;15.000.000;2;8;800;38;1.875.000;18.750;394.737;5;5;4;100;400;7.500.000;
561;604;02.931.741/0001-11;A. R. DE LIMA E CIA. LTDA.;MT;15.000.000;2;13;1.400;58;1.153.846;10.714;258.621;4;4;7;108;700;7.500.000;
562;novo;04.027.450/0001-29;J.P. GASPERINI & CIA LTDA.;PR;14.654.766;1;8;1.200;63;1.831.846;12.212;232.615;8;5;8;150;1.200;14.654.766;
563;593;93.200.509/0001-69;SUPERMERCADO K.L. LTDA.;RS;14.626.950;1;5;600;26;2.925.390;24.378;562.575;5;4;5;120;600;14.626.950;
564;572;35.437.276/0001-16;DURVAL HENRIQUE DE OLIVEIRA.;PB;14.480.736;1;7;650;30;2.068.677;22.278;482.691;4;5;7;93;650;14.480.736;
565;567;00.977.797/0001-81;SUPERMERCADO DONA ROSA LTDA.;RS;14.208.356;1;7;1.150;40;2.029.765;12.355;355.209;6;3;7;164;1.150;14.208.356;
566;540;29.450.624/0001-92;BAR E MERCEARIA MUQUECA LTDA.;RJ;14.144.235;1;5;382;65;2.828.847;37.027;217.604;13;17;5;76;382;14.144.235;
567;568;17.764.929/0001-90;SUPERMERCADO VILELA KHOURI E EL HADJ LTDA.;MG;14.021.000;1;4;700;37;3.505.250;20.030;378.946;9;5;4;175;700;14.021.000;
568;597;61.943.189/0001-40;SUPERMERCADO YAMATO LTDA.;SP;14.000.000;1;6;500;27;2.333.333;28.000;518.519;5;5;6;83;500;14.000.000;
569;589;15.383.044/0001-15;MERCADO CAUÃ LTDA.;RS;14.000.000;1;5;650;28;2.800.000;21.538;500.000;6;4;5;130;650;14.000.000;
570;892;01.061.088/0001-14;ORGANIZAÇÃO BRANDÃO OLIVEIRA LTDA.;MG;13.800.000;1;6;500;40;2.300.000;27.600;345.000;7;8;6;83;500;13.800.000;
571;559;22.304.901/0001-00;SUPERMERCADO 2B LTDA.;MG;13.780.000;1;5;305;49;2.756.000;45.180;281.224;10;16;5;61;305;13.780.000;
572;575;02.714.247/0001-03;VAREJÃO IRMÃOS FERNANDES LTDA.;MG;13.657.717;1;4;322;38;3.414.429;42.415;359.414;10;12;4;81;322;13.657.717;
573;622;90.102.385/0002-71;HILMO SAALFELD & CIA. LTDA.;RS;13.500.000;1;4;1.000;50;3.375.000;13.500;270.000;13;5;4;250;1.000;13.500.000;
574;592;04.128.650/0001-78;LAYDIANNE SANTOS DE ALBUQUERQUE FONSECA.;CE;13.284.631;1;6;640;35;2.214.105;20.757;379.561;6;5;6;107;640;13.284.631;
575;613;90.834.300/0001-69;MG FINK LTDA.;RS;13.115.629;2;8;1.902;25;1.639.454;6.896;524.625;3;1;4;238;951;6.557.815;
576;591;54.472.279/0001-35;SUPERMERCADO MENCK LTDA. - EPP.;SP;13.062.000;1;6;350;30;2.177.000;37.320;435.400;5;9;6;58;350;13.062.000;
577;novo;54.890.462/0001-50;A.R. MINATEL EIRELI.;SP;13.016.000;1;5;450;33;2.603.200;28.924;394.424;7;7;5;90;450;13.016.000;
578;531;10.446.597/0001-56;SUPERMERCADO PONTO CERTO LTDA. - ME.;PE;13.000.000;1;9;600;41;1.444.444;21.667;317.073;5;7;9;67;600;13.000.000;
579;595;00.187.024/0001-00;J .PEDROSA & CIA. LTDA.;PR;13.000.000;1;5;650;30;2.600.000;20.000;433.333;6;5;5;130;650;13.000.000;
580;609;02.739.182/0001-42;SAULO FIGURA - EPP.;SC;13.000.000;2;10;1.500;50;1.300.000;8.667;260.000;5;3;5;150;750;6.500.000;
581;590;89.349.450/0001-06;SUPERMERCADO BOCCHI LTDA.;RS;12.976.765;2;6;650;40;2.162.794;19.964;324.419;7;6;3;108;325;6.488.383;
582;600;50.498.195/0001-10;ANTÔNIO BELARMINO DA SILVA - EPP.;SP;12.959.984;2;6;600;30;2.159.997;21.600;431.999;5;5;3;100;300;6.479.992;
583;665;08.647.031/0001-40;SUPERMERCADO NEUZA MARTINS IRMÃOS LTDA.;GO;12.937.521;1;4;800;24;3.234.380;16.172;539.063;6;3;4;200;800;12.937.521;
584;novo;85.513.521/0001-03;PATO BRAGADO COMÉRCIO DE ALIMENTOS LTDA.;PR;12.748.367;1;8;1.200;43;1.593.546;10.624;296.474;5;4;8;150;1.200;12.748.367;
585;608;77.980.829/0001-22;CISNE COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;PR;12.745.718;1;5;990;31;2.549.144;12.874;411.152;6;3;5;198;990;12.745.718;
586;603;28.882.587/0001-29;MERCEARIA VIDAL LTDA.;RJ;12.600.000;1;5;400;42;2.520.000;31.500;300.000;8;11;5;80;400;12.600.000;
587;582;82.491.465/0001-57;MERCADO SAMARA LTDA.;PR;12.600.000;1;6;850;38;2.100.000;14.824;331.579;6;4;6;142;850;12.600.000;
588;619;07.011.058/0001-80;SUPERMERCADO CIGOGNINI LTDA.;RS;12.600.000;2;7;910;30;1.800.000;13.846;420.000;4;3;4;130;455;6.300.000;
589;642;93.277.929/0001-43;SUPERMERCADO G.T.K. LTDA.;RS;12.537.086;1;5;600;30;2.507.417;20.895;417.903;6;5;5;120;600;12.537.086;
590;730;03.162.569/0001-41;COMÉRCIO DE ALIMENTOS COSTA E SOUZA LTDA.;PE;12.500.000;1;5;244;31;2.500.000;51.230;403.226;6;13;5;49;244;12.500.000;
591;629;02.781.385/0001-05;LAPAS SUPERMERCADO LTDA.;SP;12.400.144;1;6;1.000;24;2.066.691;12.400;516.673;4;2;6;167;1.000;12.400.144;
592;novo;24.005.928/0001-27;VAREJÃO ASTEKA LTDA.;MG;12.400.000;1;9;720;42;1.377.778;17.222;295.238;5;6;9;80;720;12.400.000;
593;574;55.080.220/0001-64;SUPERMERCADO IRMÃOS TAVARES LTDA.;SP;12.365.000;2;8;1.000;32;1.545.625;12.365;386.406;4;3;4;125;500;6.182.500;
594;635;07.834.841/0001-43;SUPERMERCADO UNIVERSO LTDA. - ME.;PB;12.232.648;1;4;360;22;3.058.162;33.980;556.029;6;6;4;90;360;12.232.648;
595;555;11.156.208/0001-10;MAX DUDA ALIMENTOS LTDA.;MG;12.140.682;1;6;790;42;2.023.447;15.368;289.064;7;5;6;132;790;12.140.682;
596;644;05.505.630/0001-31;JOSÉ LEDO DA COSTA LTDA.;PB;12.100.000;1;5;600;35;2.420.000;20.167;345.714;7;6;5;120;600;12.100.000;
597;novo;09.099.892/0001-02;A T CAETANO EIRELI.;SP;12.000.000;1;6;240;42;2.000.000;50.000;285.714;7;18;6;40;240;12.000.000;
598;626;07.501.423/0001-34;MERCANTIL ALVES LTDA. ;RN;12.000.000;1;4;432;23;3.000.000;27.778;521.739;6;5;4;108;432;12.000.000;
599;novo;79.785.887/0001-20;A P RONDONI & CIA LTDA.;PR;12.000.000;1;4;450;20;3.000.000;26.667;600.000;5;4;4;113;450;12.000.000;
600;620;01.076.352/0001-93;DEFROST PRODUTOS ALIMENTÍCIOS LTDA. - ME.;SP;12.000.000;1;5;450;35;2.400.000;26.667;342.857;7;8;5;90;450;12.000.000;
601;580;10.392.044/0001-68;SUPERMERCADO TAMOYO FLEX LTDA.;SP;12.000.000;1;6;600;33;2.000.000;20.000;363.636;6;6;6;100;600;12.000.000;
602;564;07.027.727/0001-01;PELLIM & DENADAI LTDA.;MS;12.000.000;1;5;1.000;30;2.400.000;12.000;400.000;6;3;5;200;1.000;12.000.000;
603;583;00.193.477/0001-30;MATILDE JULITA GERBER JEREMIAS.;SC;12.000.000;1;4;1.000;26;3.000.000;12.000;461.538;7;3;4;250;1.000;12.000.000;
604;628;02.405.424/0001-61;KIESEL COMERCIAL LTDA.;RS;11.925.981;1;5;350;32;2.385.196;34.074;372.687;6;9;5;70;350;11.925.981;
605;624;78.862.588/0001-80;MERCADO BONIMIX LTDA.;SC;11.880.000;2;7;1.150;28;1.697.143;10.330;424.286;4;2;4;164;575;5.940.000;
606;581;05.903.949/0001-15;SUPERMERCADO BOM JESUS DE OURINHOS LTDA.;SP;11.868.030;1;6;650;38;1.978.005;18.259;312.317;6;6;6;108;650;11.868.030;
607;594;17.250.107/0001-90;ADÃO JOSÉ OLIVEIRA DA COSTA EIRELI - ME.;RS;11.831.546;1;6;725;29;1.971.924;16.319;407.984;5;4;6;121;725;11.831.546;
608;611;14.254.229/0001-67;SUPERMERCADO OASIS LTDA. - EPP.;ES;11.808.960;1;6;950;50;1.968.160;12.430;236.179;8;5;6;158;950;11.808.960;
609;588;28.219.699/0001-02;R. B. BERTOLOTO & CIA. LTDA.;RJ;11.800.000;1;5;500;35;2.360.000;23.600;337.143;7;7;5;100;500;11.800.000;
610;662;09.618.077/0003-66;PEREIRA & CARDOSO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.;SP;11.779.964;2;6;800;40;1.963.327;14.725;294.499;7;5;3;133;400;5.889.982;
611;616;92.966.910/0001-41;SUPERMERCADO CAVALHADA LTDA.;RS;11.718.679;1;5;360;19;2.343.736;32.552;616.773;4;5;5;72;360;11.718.679;
612;661;09.154.638/0001-51;SUPERMERCADO C.S. FERNANDES LTDA.;MG;11.650.000;1;4;400;32;2.912.500;29.125;364.063;8;8;4;100;400;11.650.000;
613;503;00.557.704/0001-60;NATALINO JOSÉ DA SILVA - ME.;SC;11.506.344;2;9;1.740;55;1.278.483;6.613;209.206;6;3;5;193;870;5.753.172;
614;668;00.431.439/0001-79;SUPERMERCADO COMAC LTDA.;MG;11.314.810;2;6;750;40;1.885.802;15.086;282.870;7;5;3;125;375;5.657.405;
615;610;90.578.410/0001-07;SUPERMERCADO SCOTTA LTDA.;RS;11.161.144;1;4;450;30;2.790.286;24.803;372.038;8;7;4;113;450;11.161.144;
616;579;22.578.172/0001-80;CASA NOSSA - EIRELI - ME.;RO;11.000.000;1;5;400;30;2.200.000;27.500;366.667;6;8;5;80;400;11.000.000;
617;680;08.305.147/0001-00;GOYOS BATA SUPERMERCADO LTDA.;SP;11.000.000;1;5;600;27;2.200.000;18.333;407.407;5;5;5;120;600;11.000.000;
618;633;01.537.793/0001-45;COMERCIAL DE ALIMENTOS A.A. LTDA.;RS;11.000.000;1;4;700;20;2.750.000;15.714;550.000;5;3;4;175;700;11.000.000;
619;614;24.853.474/0001-44;RAFAEL DA ROSA ABREU.;RS;10.871.976;1;5;350;30;2.174.395;31.063;362.399;6;9;5;70;350;10.871.976;
620;627;05.742.719/0001-11;R.D.C. II COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;SP;10.800.000;1;5;200;23;2.160.000;54.000;469.565;5;12;5;40;200;10.800.000;
621;750;32.872.517/0001-67;ANDERSON MERCEARIA LTDA.;SE;10.800.000;1;4;400;21;2.700.000;27.000;514.286;5;5;4;100;400;10.800.000;
622;777;04.879.218/0001-19;FEIRÃO POPULAR LTDA.;SE;10.800.000;1;3;450;11;3.600.000;24.000;981.818;4;2;3;150;450;10.800.000;
623;690;03.532.585/0001-89;SUPERMERCADO GRAN MORO LTDA.;SP;10.800.000;1;4;780;15;2.700.000;13.846;720.000;4;2;4;195;780;10.800.000;
624;636;00.218.721/0001-72;SUPERMERCADOS MONTE SINAI LTDA.;PR;10.685.792;1;5;400;36;2.137.158;26.714;296.828;7;9;5;80;400;10.685.792;
625;617;02.561.024/0001-45;CEDIR DOMINGOS BEGNINI - EPP.;SC;10.622.770;1;4;1000;22;2.655.693;10.623;482.853;6;2;4;250;1.000;10.622.770;
626;novo;92.682.806/0001-25;BIG PÃO SUPERMERCADO LTDA.;RS;10.422.592;1;6;600;32;1.737.099;17.371;325.706;5;5;6;100;600;10.422.592;
627;631;03.446.881/0001-67;PAULO LEMPEK & CIA. LTDA.;RS;10.370.827;1;3;350;21;3.456.942;29.631;493.849;7;6;3;117;350;10.370.827;
628;novo;11.355.900/0001-78;A GOLFETO JUNIOR & CIA. LTDA.;PR;10.311.381;1;6;950;25;1.718.564;10.854;412.455;4;3;6;158;950;10.311.381;
629;634;08.928.944/0001-35;SUPERMERCADO DAMICO LTDA.;SP;10.300.000;1;3;400;10;3.433.333;25.750;1.030.000;3;3;3;133;400;10.300.000;
630;639;00.995.850/0001-77;KERKHOVEN & CIA. LTDA.;PR;10.253.963;1;4;600;14;2.563.491;17.090;732.426;4;2;4;150;600;10.253.963;
